case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C25B5-0001,HC-KLA,Central,Civil,2025-01-06,2025-04-10,3,1,bbbbccccddddeeeeffff000011112222,Resolved,94
C25B5-0002,HC-MBR,Western,Criminal,2025-02-11,2025-06-26,6,2,ccccddddeeeeffff0000111122223333,Convicted,135
C25B5-0003,MC-GUL,Northern,Land,2025-03-24,2025-07-28,5,2,7f3a9b1d4c6e8f0a2b5c7d9e1f2a3b4c,Settled,126
C25B5-0004,HC-MSK,Eastern,Family,2025-04-09,2025-08-25,7,3,1a2b3c4d5e6f708192a3b4c5d6e7f801,Resolved,138
C25B5-0005,MC-KLA,Central,Criminal,2025-05-18,2025-08-30,4,1,abc12345def67890abc12345def67890,Acquitted,104
C25B5-0006,HC-GUL,Northern,Civil,2025-06-14,2025-10-18,6,2,9f8e7d6c5b4a3210fedcba0987654321,Resolved,126
C25B5-0007,MC-MBR,Western,Land,2025-02-22,2025-06-05,4,1,0f1e2d3c4b5a69788776655443322110,Settled,103
C25B5-0008,HC-MSK,Eastern,Criminal,2025-01-25,2025-05-27,5,2,55aa66bb77cc88dd99ee00ff11aa22bb,Convicted,122
C25B5-0009,HC-KLA,Central,Family,2025-03-14,2025-07-16,4,2,22223333444455556666777788889999,Resolved,124
C25B5-0010,MC-MSK,Eastern,Civil,2025-06-22,2025-09-28,5,1,deadbeef00aa11bb22cc33dd44ee55ff,Resolved,98


