case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C-0001,HC-KLA,Central,Criminal,2023-01-15,2023-06-10,6,2,7f3a9b1d4c6e8f0a2b5c7d9e1f2a3b4c,Convicted,146
C-0002,HC-MBR,Western,Civil,2023-02-01,2023-05-20,4,1,1a2b3c4d5e6f708192a3b4c5d6e7f801,Settled,108
C-0003,MC-GUL,Northern,Land,2022-11-10,2023-03-15,5,2,abc12345def67890abc12345def67890,Dismissed,125
C-0004,HC-MSK,Eastern,Family,2023-03-05,2023-08-12,7,3,9f8e7d6c5b4a3210fedcba0987654321,Resolved,160
C-0005,MC-FRT,Western,Criminal,2023-04-01,2023-07-25,3,1,0f1e2d3c4b5a69788776655443322110,Acquitted,115
C-0006,HC-KLA,Central,Civil,2023-05-12,2023-10-05,6,2,55aa66bb77cc88dd99ee00ff11aa22bb,Resolved,146
C-0007,MC-MBR,Western,Land,2022-12-20,2023-04-18,4,1,22223333444455556666777788889999,Settled,119
C-0008,HC-GUL,Northern,Criminal,2023-01-28,2023-06-02,5,2,deadbeef00aa11bb22cc33dd44ee55ff,Convicted,125
C-0009,HC-MSK,Eastern,Civil,2023-06-10,2023-09-22,3,1,aa11bb22cc33dd44ee55ff6677889900,Resolved,104
C-0010,MC-KLA,Central,Family,2023-02-18,2023-07-01,4,2,1029384756abcdef1029384756abcdef,Resolved,133
C-0011,HC-MSK,Eastern,Criminal,2023-07-05,2023-11-02,6,2,33445566778899aabbccddeeff001122,Convicted,120
C-0012,MC-GUL,Northern,Civil,2022-10-15,2023-02-12,3,1,8899aabbccddeeff0011223344556677,Settled,120
C-0013,HC-MBR,Western,Family,2023-03-22,2023-08-05,5,2,ffeeddccbbaa99887766554433221100,Resolved,136
C-0014,MC-KLA,Central,Land,2023-01-07,2023-04-30,3,1,1234567890abcdef1234567890abcdef,Resolved,113
C-0015,HC-GUL,Northern,Civil,2023-02-25,2023-07-20,4,2,abcdefabcdefabcdefabcdefabcdef12,Settled,145
C-0016,MC-MSK,Eastern,Criminal,2023-05-01,2023-08-25,4,1,0a1b2c3d4e5f60718293a4b5c6d7e8f9,Acquitted,116
C-0017,HC-KLA,Central,Family,2023-04-12,2023-09-18,6,3,4444555566667777888899990000aaaa,Resolved,159
C-0018,MC-MBR,Western,Land,2023-06-20,2023-10-10,3,1,7777888899990000aaaabbbbccccdddd,Resolved,112
C-0019,HC-GUL,Northern,Civil,2023-07-15,2023-11-28,5,2,bbbbccccddddeeeeffff000011112222,Settled,136
C-0020,MC-MSK,Eastern,Criminal,2023-03-10,2023-06-30,3,1,ccccddddeeeeffff0000111122223333,Convicted,112



