case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C25B8-0001,HC-KLA,Central,Civil,2025-01-02,2025-03-29,3,1,8899aabbccddeeff0011223344556677,Resolved,86
C25B8-0002,HC-MBR,Western,Family,2025-02-22,2025-07-08,5,2,ffeeddccbbaa99887766554433221100,Resolved,136
C25B8-0003,MC-GUL,Northern,Criminal,2025-03-27,2025-08-05,6,2,1234567890abcdef1234567890abcdef,Convicted,131
C25B8-0004,HC-MSK,Eastern,Land,2025-04-08,2025-09-03,5,2,abcdefabcdefabcdefabcdefabcdef12,Settled,148
C25B8-0005,MC-KLA,Central,Civil,2025-05-16,2025-08-19,4,1,0a1b2c3d4e5f60718293a4b5c6d7e8f9,Resolved,95
C25B8-0006,HC-GUL,Northern,Family,2025-06-21,2025-10-17,6,2,4444555566667777888899990000aaaa,Resolved,118
C25B8-0007,MC-MBR,Western,Criminal,2025-02-09,2025-05-26,4,1,7777888899990000aaaabbbbccccdddd,Acquitted,107
C25B8-0008,HC-MSK,Eastern,Civil,2025-01-24,2025-05-21,5,2,bbbbccccddddeeeeffff000011112222,Resolved,117
C25B8-0009,HC-KLA,Central,Land,2025-03-19,2025-07-25,4,2,ccccddddeeeeffff0000111122223333,Settled,128
C25B8-0010,MC-MSK,Eastern,Family,2025-06-05,2025-09-14,5,1,7f3a9b1d4c6e8f0a2b5c7d9e1f2a3b4c,Resolved,101


